id,name,name_norm,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,base_total,height,weight,abilities,sprite_png,sprite_svg,generation,legendary,weak_to,resist_to,immune_to
11,metapod,metapod,bug,nan,50,20,55,25,25,30,205,7,99,shed-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/11.svg,,,"fire, flying, rock","fighting, grass, ground",
12,butterfree,butterfree,bug,flying,60,45,50,90,80,70,395,11,320,"compound-eyes,tinted-lens",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/12.svg,,,"electric, fire, flying, ice, rock","bug, fighting, grass",ground
13,weedle,weedle,bug,poison,40,35,30,20,20,50,195,3,32,"shield-dust,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/13.svg,,,"fire, flying, psychic, rock","bug, fairy, fighting, grass, poison",
14,kakuna,kakuna,bug,poison,45,25,50,25,25,35,205,6,100,shed-skin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/14.svg,,,"fire, flying, psychic, rock","bug, fairy, fighting, grass, poison",
15,beedrill,beedrill,bug,poison,65,90,40,45,80,75,395,10,295,"swarm,sniper",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/15.svg,,,"fire, flying, psychic, rock","bug, fairy, fighting, grass, poison",
16,pidgey,pidgey,normal,flying,40,45,40,35,35,56,251,3,18,"keen-eye,tangled-feet,big-pecks",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/16.svg,,,"electric, ice, rock","bug, grass","ghost, ground"
17,pidgeotto,pidgeotto,normal,flying,63,60,55,50,50,71,349,11,300,"keen-eye,tangled-feet,big-pecks",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/17.svg,,,"electric, ice, rock","bug, grass","ghost, ground"
18,pidgeot,pidgeot,normal,flying,83,80,75,70,70,101,479,15,395,"keen-eye,tangled-feet,big-pecks",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/18.svg,,,"electric, ice, rock","bug, grass","ghost, ground"
19,rattata,rattata,normal,nan,30,56,35,25,35,72,253,3,35,"run-away,guts,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/19.svg,,,fighting,,ghost
20,raticate,raticate,normal,nan,55,81,60,50,70,97,413,7,185,"run-away,guts,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/20.svg,,,fighting,,ghost
21,spearow,spearow,normal,flying,40,60,30,31,31,70,262,3,20,"keen-eye,sniper",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/21.svg,,,"electric, ice, rock","bug, grass","ghost, ground"
22,fearow,fearow,normal,flying,65,90,65,61,61,100,442,12,380,"keen-eye,sniper",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/22.svg,,,"electric, ice, rock","bug, grass","ghost, ground"
23,ekans,ekans,poison,nan,35,60,44,40,54,55,288,20,69,"intimidate,shed-skin,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/23.svg,,,"ground, psychic","bug, fairy, fighting, grass, poison",
24,arbok,arbok,poison,nan,60,95,69,65,79,80,448,35,650,"intimidate,shed-skin,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/24.svg,,,"ground, psychic","bug, fairy, fighting, grass, poison",
25,pikachu,pikachu,electric,nan,35,55,40,50,50,90,320,4,60,"static,lightning-rod",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/25.svg,,,ground,"electric, flying, steel",
26,raichu,raichu,electric,nan,60,90,55,90,80,110,485,8,300,"static,lightning-rod",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/26.svg,,,ground,"electric, flying, steel",
27,sandshrew,sandshrew,ground,nan,50,75,85,20,30,40,300,6,120,"sand-veil,sand-rush",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/27.svg,,,"grass, ice, water","poison, rock",electric
28,sandslash,sandslash,ground,nan,75,100,110,45,55,65,450,10,295,"sand-veil,sand-rush",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/28.svg,,,"grass, ice, water","poison, rock",electric
29,nidoran-f,nidoran f,poison,nan,55,47,52,40,40,41,275,4,70,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/29.svg,,,"ground, psychic","bug, fairy, fighting, grass, poison",
30,nidorina,nidorina,poison,nan,70,62,67,55,55,56,365,8,200,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/30.svg,,,"ground, psychic","bug, fairy, fighting, grass, poison",
31,nidoqueen,nidoqueen,poison,ground,90,92,87,75,85,76,505,13,600,"poison-point,rivalry,sheer-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/31.svg,,,"ground, ice, psychic, water","bug, fairy, fighting, poison, rock",electric
32,nidoran-m,nidoran m,poison,nan,46,57,40,40,40,50,273,5,90,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/32.svg,,,"ground, psychic","bug, fairy, fighting, grass, poison",
33,nidorino,nidorino,poison,nan,61,72,57,55,55,65,365,9,195,"poison-point,rivalry,hustle",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/33.svg,,,"ground, psychic","bug, fairy, fighting, grass, poison",
34,nidoking,nidoking,poison,ground,81,102,77,85,75,85,505,14,620,"poison-point,rivalry,sheer-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/34.svg,,,"ground, ice, psychic, water","bug, fairy, fighting, poison, rock",electric
35,clefairy,clefairy,fairy,nan,70,45,48,60,65,35,323,6,75,"cute-charm,magic-guard,friend-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/35.svg,,,"poison, steel","bug, dark, fighting",dragon
36,clefable,clefable,fairy,nan,95,70,73,95,90,60,483,13,400,"cute-charm,magic-guard,unaware",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/36.svg,,,"poison, steel","bug, dark, fighting",dragon
37,vulpix,vulpix,fire,nan,38,41,40,50,65,65,299,6,99,"flash-fire,drought",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/37.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
38,ninetales,ninetales,fire,nan,73,76,75,81,100,100,505,11,199,"flash-fire,drought",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/38.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
39,jigglypuff,jigglypuff,normal,fairy,115,45,20,45,25,20,270,5,55,"cute-charm,competitive,friend-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/39.svg,,,"poison, steel","bug, dark","dragon, ghost"
40,wigglytuff,wigglytuff,normal,fairy,140,70,45,85,50,45,435,10,120,"cute-charm,competitive,frisk",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/40.svg,,,"poison, steel","bug, dark","dragon, ghost"
41,zubat,zubat,poison,flying,40,45,35,30,40,55,245,8,75,"inner-focus,infiltrator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/41.svg,,,"electric, ice, psychic, rock","bug, fairy, fighting, grass, poison",ground
42,golbat,golbat,poison,flying,75,80,70,65,75,90,455,16,550,"inner-focus,infiltrator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/42.svg,,,"electric, ice, psychic, rock","bug, fairy, fighting, grass, poison",ground
43,oddish,oddish,grass,poison,45,50,55,75,65,30,320,5,54,"chlorophyll,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/43.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
44,gloom,gloom,grass,poison,60,65,70,85,75,40,395,8,86,"chlorophyll,stench",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/44.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
45,vileplume,vileplume,grass,poison,75,80,85,110,90,50,490,12,186,"chlorophyll,effect-spore",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/45.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
46,paras,paras,bug,grass,35,70,55,45,55,25,285,3,54,"effect-spore,dry-skin,damp",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/46.svg,,,"bug, fire, flying, ice, poison, rock","electric, fighting, grass, ground, water",
47,parasect,parasect,bug,grass,60,95,80,60,80,30,405,10,295,"effect-spore,dry-skin,damp",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/47.svg,,,"bug, fire, flying, ice, poison, rock","electric, fighting, grass, ground, water",
48,venonat,venonat,bug,poison,60,55,50,40,55,45,305,10,300,"compound-eyes,tinted-lens,run-away",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/48.svg,,,"fire, flying, psychic, rock","bug, fairy, fighting, grass, poison",
49,venomoth,venomoth,bug,poison,70,65,60,90,75,90,450,15,125,"shield-dust,tinted-lens,wonder-skin",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/49.svg,,,"fire, flying, psychic, rock","bug, fairy, fighting, grass, poison",
50,diglett,diglett,ground,nan,10,55,25,35,45,95,265,2,8,"sand-veil,arena-trap,sand-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/50.svg,,,"grass, ice, water","poison, rock",electric
51,dugtrio,dugtrio,ground,nan,35,100,50,50,70,120,425,7,333,"sand-veil,arena-trap,sand-force",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/51.svg,,,"grass, ice, water","poison, rock",electric
52,meowth,meowth,normal,nan,40,45,35,40,40,90,290,4,42,"pickup,technician,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/52.svg,,,fighting,,ghost
53,persian,persian,normal,nan,65,70,60,65,65,115,440,10,320,"limber,technician,unnerve",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/53.svg,,,fighting,,ghost
54,psyduck,psyduck,water,nan,50,52,48,65,50,55,320,8,196,"damp,cloud-nine,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/54.svg,,,"electric, grass","fire, ice, steel, water",
55,golduck,golduck,water,nan,80,82,78,95,80,85,500,17,766,"damp,cloud-nine,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/55.svg,,,"electric, grass","fire, ice, steel, water",
56,mankey,mankey,fighting,nan,40,80,35,35,45,70,305,5,280,"vital-spirit,anger-point,defiant",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/56.svg,,,"fairy, flying, psychic","bug, dark, rock",
57,primeape,primeape,fighting,nan,65,105,60,60,70,95,455,10,320,"vital-spirit,anger-point,defiant",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/57.svg,,,"fairy, flying, psychic","bug, dark, rock",
58,growlithe,growlithe,fire,nan,55,70,45,70,50,60,350,7,190,"intimidate,flash-fire,justified",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/58.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
59,arcanine,arcanine,fire,nan,90,110,80,100,80,95,555,19,1550,"intimidate,flash-fire,justified",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/59.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
60,poliwag,poliwag,water,nan,40,50,40,40,40,90,300,6,124,"water-absorb,damp,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/60.svg,,,"electric, grass","fire, ice, steel, water",
61,poliwhirl,poliwhirl,water,nan,65,65,65,50,50,90,385,10,200,"water-absorb,damp,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/61.svg,,,"electric, grass","fire, ice, steel, water",
62,poliwrath,poliwrath,water,fighting,90,95,95,70,90,70,510,13,540,"water-absorb,damp,swift-swim",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/62.svg,,,"electric, fairy, flying, grass, psychic","bug, dark, fire, ice, rock, steel, water",
63,abra,abra,psychic,nan,25,20,15,105,55,90,310,9,195,"synchronize,inner-focus,magic-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/63.svg,,,"bug, dark, ghost","fighting, psychic",
64,kadabra,kadabra,psychic,nan,40,35,30,120,70,105,400,13,565,"synchronize,inner-focus,magic-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/64.svg,,,"bug, dark, ghost","fighting, psychic",
65,alakazam,alakazam,psychic,nan,55,50,45,135,95,120,500,15,480,"synchronize,inner-focus,magic-guard",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/65.svg,,,"bug, dark, ghost","fighting, psychic",
66,machop,machop,fighting,nan,70,80,50,35,35,35,305,8,195,"guts,no-guard,steadfast",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/66.svg,,,"fairy, flying, psychic","bug, dark, rock",
67,machoke,machoke,fighting,nan,80,100,70,50,60,45,405,15,705,"guts,no-guard,steadfast",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/67.svg,,,"fairy, flying, psychic","bug, dark, rock",
68,machamp,machamp,fighting,nan,90,130,80,65,85,55,505,16,1300,"guts,no-guard,steadfast",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/68.svg,,,"fairy, flying, psychic","bug, dark, rock",
69,bellsprout,bellsprout,grass,poison,50,75,35,70,30,40,300,7,40,"chlorophyll,gluttony",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/69.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
70,weepinbell,weepinbell,grass,poison,65,90,50,85,45,55,390,10,64,"chlorophyll,gluttony",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/70.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
71,victreebel,victreebel,grass,poison,80,105,65,100,70,70,490,17,155,"chlorophyll,gluttony",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/71.svg,,,"fire, flying, ice, psychic","electric, fairy, fighting, grass, water",
72,tentacool,tentacool,water,poison,40,40,35,50,100,70,335,9,455,"clear-body,liquid-ooze,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/72.svg,,,"electric, ground, psychic","bug, fairy, fighting, fire, ice, poison, steel, water",
73,tentacruel,tentacruel,water,poison,80,70,65,80,120,100,515,16,550,"clear-body,liquid-ooze,rain-dish",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/73.svg,,,"electric, ground, psychic","bug, fairy, fighting, fire, ice, poison, steel, water",
74,geodude,geodude,rock,ground,40,80,100,30,30,20,300,4,200,"rock-head,sturdy,sand-veil",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/74.svg,,,"fighting, grass, ground, ice, steel, water","fire, flying, normal, poison, rock",electric
75,graveler,graveler,rock,ground,55,95,115,45,45,35,390,10,1050,"rock-head,sturdy,sand-veil",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/75.svg,,,"fighting, grass, ground, ice, steel, water","fire, flying, normal, poison, rock",electric
76,golem,golem,rock,ground,80,120,130,55,65,45,495,14,3000,"rock-head,sturdy,sand-veil",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/76.svg,,,"fighting, grass, ground, ice, steel, water","fire, flying, normal, poison, rock",electric
77,ponyta,ponyta,fire,nan,50,85,55,65,65,90,410,10,300,"run-away,flash-fire,flame-body",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/77.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
78,rapidash,rapidash,fire,nan,65,100,70,80,80,105,500,17,950,"run-away,flash-fire,flame-body",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/78.svg,,,"ground, rock, water","bug, fairy, fire, grass, ice, steel",
79,slowpoke,slowpoke,water,psychic,90,65,65,40,40,15,315,12,360,"oblivious,own-tempo,regenerator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/79.svg,,,"bug, dark, electric, ghost, grass","fighting, fire, ice, psychic, steel, water",
80,slowbro,slowbro,water,psychic,95,75,110,100,80,30,490,16,785,"oblivious,own-tempo,regenerator",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/80.svg,,,"bug, dark, electric, ghost, grass","fighting, fire, ice, psychic, steel, water",
81,magnemite,magnemite,electric,steel,25,35,70,95,55,45,325,3,60,"magnet-pull,sturdy,analytic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/81.svg,,,"fighting, fire, ground","bug, dragon, electric, fairy, flying, grass, ice, normal, psychic, rock, steel",poison
82,magneton,magneton,electric,steel,50,60,95,120,70,70,465,10,600,"magnet-pull,sturdy,analytic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/82.svg,,,"fighting, fire, ground","bug, dragon, electric, fairy, flying, grass, ice, normal, psychic, rock, steel",poison
